City,Country,CountryCode,DepartmentNameNative,InstituteNameHEPnew,InstituteNameHEPold,InstituteNameNative,Latitude,Longitude,ZIPcode,recid,LatitudeCity,LongitudeCity
Philadelphia,USA,US,Department of Physics,"Temple U., Dept. Phys.",Temple U.,Temple University,39.9795244,-75.145782,19122,903260,39.9525839,-75.1652215
Philadelphia,USA,US,,Temple U.,Temple U. (main),Temple University,39.9795244,-75.145782,19122,1275297,39.9525839,-75.1652215
Boulder,USA,US,,,"Cray Research, Boulder",,39.984698,-105.227954,80303,904966,40.0149856,-105.2705456
Lafayette,USA,US,,,"Composite Tech. Dev., Lafayette",,39.98505,-105.096313,80026,908525,30.2240897,-92.0198427
Columbus,USA,US,,,"Battelle Memorial Inst., Columbus",,39.99056,-83.020342,43201,903916,39.9611755,-82.9987942
,USA,US,,,St. Joseph's U.,,39.9915379,-75.2187346,19131,911092,37.09024,-95.712891
Waltham,USA,US,,,"Magnetic Corp., Waltham",,39.9939017,-83.0681011,2254,904086,42.3764852,-71.2356113
Waltham,USA,US,,,"GTE Labs, Waltham",,39.9939017,-83.0681011,2254,906016,42.3764852,-71.2356113
Columbus,USA,US,,,"OSC, Columbus",,39.998203,-83.040688,43212,908000,39.9611755,-82.9987942
Millersville,USA,US,,,Millersville U.,,39.998213,-76.356568,17551,904509,39.9978764,-76.3541274
Columbus,USA,US,,"Ohio State U., Columbus","Ohio State U., Columbus (main)",Ohio State University (OSU),39.9990626,-83.0173386,43210,1118764,39.9611755,-82.9987942
Columbus,USA,US,,"Ohio State U., Columbus, Dept. Math.","Ohio State U., Dept. Math.",,40.001668,-83.014144,43210,908590,39.9611755,-82.9987942
Columbus,USA,US,Department of Physics,"Ohio State U., Columbus, Dept. Phys.",Ohio State U.,"Ohio State University, Columbus",40.002067,-83.013139,43210,903092,39.9611755,-82.9987942
Columbus,USA,US,Department of Astronomy,"Ohio State U., Columbus, Dept. Astron.","Ohio State U., Dept. Astron.",Ohio State University,40.002112,-83.012807,43210,908128,39.9611755,-82.9987942
Columbus,USA,US,Center for Cosmology and AstroParticle Physics (CCAPP),"Ohio State U., Columbus, CCAPP","Ohio State U., CCAPP",Ohio State University (OSU),40.0033304,-83.0142694,43210,911518,39.9611755,-82.9987942
Boulder,USA,US,,"JILA, Boulder","JILA, Boulder",Joint Institute for Laboratory Astrophysics (JILA),40.005556,-105.263889,80309,905597,40.0149856,-105.2705456
Boulder,USA,US,,,Natural Hazards Research,,40.005556,-105.263889,80309,906086,40.0149856,-105.2705456
Boulder,USA,US,,,"Ball Electro-Optics, Boulder",,40.005556,-105.263889,80309,906960,40.0149856,-105.2705456
Boulder,USA,US,Center for Astrophysics & Space Astronomy (CASA),"U. Colorado, Boulder, CASA","Colorado U., CASA",University of Colorado at Boulder,40.005556,-105.263889,80309,908246,40.0149856,-105.2705456
Boulder,USA,US,,obsolete,"Colorado U., CIRES",,40.005556,-105.263889,80309,909271,40.0149856,-105.2705456
New Concord,USA,US,,,Muskingum Coll.,,40.008798,-81.738727,43762,906884,39.9936837,-81.7340168
Boulder,USA,US,,,"LASP, Boulder",,40.008919,-105.2477141,,912399,40.0149856,-105.2705456
Haverford,USA,US,Department of Physics,"Haverford Coll., Dept. Phys.",Haverford Coll.,Haverford College,40.009739,-75.312116,19041,904627,40.0022406,-75.3208107
Boulder,USA,US,,"U. Colorado, Boulder","U. Colorado, Boulder",University of Colorado,40.0103247,-105.2889726,80309,1225385,40.0149856,-105.2705456
Boulder,USA,US,Physics,"Space Sci. Inst., Boulder","Space Sci. Inst., Boulder","Space Science Institute (SSI), Boulder",40.013492,-105.252724,80303,908970,40.0149856,-105.2705456
Boulder,USA,US,,"Tech-X Corp., Boulder","Tech-X, Boulder",Tech-X Corporation,40.014838,-105.22172,80303,908332,40.0149856,-105.2705456
Boulder,USA,US,,,"Ball Aerospace Tech., Boulder",,40.014864,-105.231823,80301,908523,40.0149856,-105.2705456
Boulder,USA,US,,"NIST, Boulder","NIST, Boulder",National Institute of Standards and Technology (NIST),40.0149856,-105.2705456,80302,903573,40.0149856,-105.2705456
Boulder,USA,US,,,HAO,,40.0149856,-105.2705456,,909413,40.0149856,-105.2705456
Boulder,USA,US,,,"Cryogenic Materials, Boulder",,40.0149856,-105.2705456,80303,909621,40.0149856,-105.2705456
Boulder,USA,US,,"NCAR, Boulder","NCAR, Boulder",National Center for Atmospheric Research (NCAR),40.015,-105.27,80307,904784,40.0149856,-105.2705456
Boulder,USA,US,,,"Cascade Applied Sciences, Boulder",,40.015,-105.27,80306,905800,40.0149856,-105.2705456
Boulder,USA,US,,,"Gravity Res. Inst., Boulder",,40.015,-105.27,80306,908822,40.0149856,-105.2705456
Boulder,USA,US,,,"Space Environment Lab, Boulder",,40.017235,-105.285131,80302,905056,40.0149856,-105.2705456
Boulder,USA,US,,"Southwest Res. Inst., Boulder","Southwest Res. Inst., Boulder",,40.017235,-105.285131,80302,907373,40.0149856,-105.2705456
Boulder,USA,US,,,"Spatial Tech., Boulder",,40.023121,-105.225607,80301,907998,40.0149856,-105.2705456
Philadelphia,USA,US,,,Philadelphia U.,,40.0232353,-75.1952134,19144,1241057,39.9525839,-75.1652215
Bryn Mawr,USA,US,,,Bryn Mawr Coll.,,40.023618,-75.329487,19010,904902,40.0230237,-75.3151772
Boulder,USA,US,,,"Timing Solutions, Boulder",,40.028313,-105.22905,80301,908506,40.0149856,-105.2705456
Lionville,USA,US,,,"Applied Tech., Lionville",,40.028889,-75.621111,19353,905244,40.0552925,-75.6382657
Crawfordsville,USA,US,,,Wabash Coll.,,40.032524,-86.907424,47933,907845,40.0411536,-86.8744516
Philadelphia,USA,US,,,"Philadelphia Coll., Textiles, Sci.",,40.033773,-75.173099,19144,903605,39.9525839,-75.1652215
Boulder,USA,US,,,Northwest Res. Assoc.,,40.035488,-105.243025,80301,910362,40.0149856,-105.2705456
Lancaster,USA,US,,,Franklin - Marshall Coll.,,40.037778,-76.305833,17604,904721,40.0378755,-76.3055144
Lancaster,USA,US,,,"RCA, Lancaster",,40.037778,-76.305833,17604,906258,40.0378755,-76.3055144
Philadelphia,USA,US,,,La Salle U.,,40.039162,-75.15299,19141,1241126,39.9525839,-75.1652215
Villanova,USA,US,Department of Physics,"Villanova U., Dept. Phys.",Villanova U.,Villanova University,40.039875,-75.345866,19085,903858,40.0375832,-75.3491813
Boulder,USA,US,,"White Dwarf Res. Corp., Boulder","White Dwarf Res. Corp., Boulder",White Dwarf Research Corporation,40.0406506,-105.2077798,80301,1121482,40.0149856,-105.2705456
Boulder,USA,US,,"RadiaSoft, Boulder","RadiaSoft, Boulder",RadiaSoft LLC,40.04846,-105.28067,80304,1478254,40.0149856,-105.2705456
Boulder,USA,US,,,"Ellery Systems, Boulder",,40.049733,-105.21426,80301,906323,40.0149856,-105.2705456
Shippensburg,USA,US,,,Shippensburg U.,,40.051359,-77.519477,17257,905665,40.0506453,-77.5202647
